DDCTransactionIdD6C246E543699BF25087DDB3C75C23DF_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf_TLpvPropa__EC3E4158F9774D857FC4367D34BD3C030F0647BF, StartTime=2015.10.15-15.35.27, HierarchicalDDC, DataSize=3015881 bytes, Retrieved=true, Duration=1.316067ms, RunGuid=RunIDF99B06AB4C3699AB09C652BAC4CB47A0
DDCTransactionId22A29D264881CE42E2D389869F4CD87E_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F7720__4776B6E2E6502A15BA73B7522CDBB3F8E50002AD, StartTime=2015.10.15-15.35.27, HierarchicalDDC, DataSize=22665 bytes, Retrieved=true, Duration=0.041049ms, RunGuid=RunIDF99B06AB4C3699AB09C652BAC4CB47A0
DDCTransactionId22A29D264881CE42E2D389869F4CD87E_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F7720__66F5A912C12ECCBFC7828C141D8C68C1A07C0A15, StartTime=2015.10.15-15.35.27, HierarchicalDDC, Duration=0.017188ms, RunGuid=RunIDF99B06AB4C3699AB09C652BAC4CB47A0
DDCTransactionId71EA3D7E4A5D6B17DD333EA9360FCC39_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__E382EECA4C24A5DC232BE9247DC197F6B8DC702B, StartTime=2015.10.15-15.35.27, HierarchicalDDC, DataSize=22958 bytes, Retrieved=true, Duration=0.038739ms, RunGuid=RunIDF99B06AB4C3699AB09C652BAC4CB47A0
DDCTransactionId71EA3D7E4A5D6B17DD333EA9360FCC39_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__67B45977DAEC48FA9C18EFBA3BE582AF431E813E, StartTime=2015.10.15-15.35.27, HierarchicalDDC, Duration=0.010774ms, RunGuid=RunIDF99B06AB4C3699AB09C652BAC4CB47A0
DDCTransactionId71EA3D7E4A5D6B17DD333EA9360FCC39_2, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__1380E9E5B67F360AFCB4C5A6C93158D79092F47B, StartTime=2015.10.15-15.35.27, HierarchicalDDC, Duration=0.010516ms, RunGuid=RunIDF99B06AB4C3699AB09C652BAC4CB47A0
DDCTransactionId78F70E504A276E3622DFCC8CC1779725_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEF__18DD853840B0F872014C7A0CC5CED56A7A5D3CC6, StartTime=2015.10.15-15.35.27, HierarchicalDDC, DataSize=22665 bytes, Retrieved=true, Duration=0.044893ms, RunGuid=RunIDF99B06AB4C3699AB09C652BAC4CB47A0
DDCTransactionId78F70E504A276E3622DFCC8CC1779725_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEF__752C88E79A6EEA422A7F7F21AFBC340AAA71BCC3, StartTime=2015.10.15-15.35.27, HierarchicalDDC, Duration=0.012826ms, RunGuid=RunIDF99B06AB4C3699AB09C652BAC4CB47A0
DDCTransactionId22A29D264881CE42E2D389869F4CD87E_2, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_89A4A1B64CC9699371EF9AABCB127__761A5490E51E8BC304AADFB493900B1523AD09CF, StartTime=2015.10.15-15.35.27, HierarchicalDDC, DataSize=3270 bytes, Retrieved=true, Duration=0.032324ms, RunGuid=RunIDF99B06AB4C3699AB09C652BAC4CB47A0
DDCTransactionId71EA3D7E4A5D6B17DD333EA9360FCC39_3, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C1DF83684CF68DAB197F4785361F5__E54ACD4270C98C672E017FC37F0607C2A873A36F, StartTime=2015.10.15-15.35.27, HierarchicalDDC, DataSize=3565 bytes, Retrieved=true, Duration=0.036944ms, RunGuid=RunIDF99B06AB4C3699AB09C652BAC4CB47A0
DDCTransactionId71EA3D7E4A5D6B17DD333EA9360FCC39_4, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C1DF83684CF68DAB197F4785361F5__93D16C78FFABBF25A8FB7F44F21B69B0390FF3A3, StartTime=2015.10.15-15.35.27, HierarchicalDDC, Duration=0.010774ms, RunGuid=RunIDF99B06AB4C3699AB09C652BAC4CB47A0
